Year,Period,State,State ANSI,Value
2007,YEAR,FLORIDA,12,261888000
2007,YEAR,MICHIGAN,26,4920000
2007,YEAR,NEW YORK,36,7590000
2007,YEAR,NORTH CAROLINA,37,17955000
2007,YEAR,OHIO,39,5852000
2007,YEAR,OREGON,41,3618000
2007,YEAR,PENNSYLVANIA,42,10472000
2007,YEAR,WASHINGTON,53,2482000
2007,YEAR,WISCONSIN,55,6528000
2006,YEAR,CALIFORNIA,06,1076884000
2006,YEAR,FLORIDA,12,239148000
2006,YEAR,MICHIGAN,26,6136000
2006,YEAR,NEW YORK,36,7480000
2006,YEAR,NORTH CAROLINA,37,19440000
2006,YEAR,OHIO,39,6536000
2006,YEAR,OREGON,41,4824000
2006,YEAR,PENNSYLVANIA,42,11356000
2006,YEAR,WASHINGTON,53,1556000
2006,YEAR,WISCONSIN,55,6298000
2005,YEAR,CALIFORNIA,06,990645000
2005,YEAR,FLORIDA,12,196790000
2005,YEAR,MICHIGAN,26,4653000
2005,YEAR,NEW YORK,36,8060000
2005,YEAR,NORTH CAROLINA,37,18525000
2005,YEAR,OHIO,39,5754000
2005,YEAR,OREGON,41,2832000
2005,YEAR,PENNSYLVANIA,42,12810000
2005,YEAR,WASHINGTON,53,2486000
2005,YEAR,WISCONSIN,55,5852000
2004,YEAR,CALIFORNIA,06,922426000
2004,YEAR,FLORIDA,12,177997000
2004,YEAR,MICHIGAN,26,3780000
2004,YEAR,NEW YORK,36,10400000
2004,YEAR,NORTH CAROLINA,37,15840000
2004,YEAR,OHIO,39,5092000
2004,YEAR,OREGON,41,3596000
2004,YEAR,PENNSYLVANIA,42,12956000
2004,YEAR,WASHINGTON,53,1870000
2004,YEAR,WISCONSIN,55,5125000
2003,YEAR,CALIFORNIA,06,1046646000
2003,YEAR,FLORIDA,12,129177000
2003,YEAR,MICHIGAN,26,6090000
2003,YEAR,NEW YORK,36,7750000
2003,YEAR,NORTH CAROLINA,37,15300000
2003,YEAR,OHIO,39,4560000
2003,YEAR,OREGON,41,2300000
2003,YEAR,PENNSYLVANIA,42,11122000
2003,YEAR,WASHINGTON,53,2373000
2003,YEAR,WISCONSIN,55,5265000
2002,YEAR,CALIFORNIA,06,793905000
2002,YEAR,FLORIDA,12,153472000
2002,YEAR,MICHIGAN,26,4998000
2002,YEAR,NEW YORK,36,8820000
2002,YEAR,NORTH CAROLINA,37,19125000
2002,YEAR,OHIO,39,3472000
2002,YEAR,OREGON,41,2438000
2002,YEAR,PENNSYLVANIA,42,10001000
2002,YEAR,WASHINGTON,53,1926000
2002,YEAR,WISCONSIN,55,4988000
2001,YEAR,CALIFORNIA,06,729863000
2001,YEAR,FLORIDA,12,167310000
2001,YEAR,MICHIGAN,26,4400000
2001,YEAR,NEW JERSEY,34,1300000
2001,YEAR,NEW YORK,36,7080000
2001,YEAR,NORTH CAROLINA,37,16660000
2001,YEAR,OHIO,39,3360000
2001,YEAR,OREGON,41,2244000
2001,YEAR,PENNSYLVANIA,42,9460000
2001,YEAR,VIRGINIA,51,5084000
2001,YEAR,WASHINGTON,53,2592000
2001,YEAR,WISCONSIN,55,5060000
2000,YEAR,CALIFORNIA,06,707205000
2000,YEAR,FLORIDA,12,167580000
2000,YEAR,MICHIGAN,26,5346000
2000,YEAR,NEW JERSEY,34,1504000
2000,YEAR,NEW YORK,36,6825000
2000,YEAR,NORTH CAROLINA,37,17325000
2000,YEAR,OHIO,39,3348000
2000,YEAR,OREGON,41,1746000
2000,YEAR,PENNSYLVANIA,42,7020000
2000,YEAR,VIRGINIA,51,5670000
2000,YEAR,WASHINGTON,53,1980000
2000,YEAR,WISCONSIN,55,4576000
1999,YEAR,ARKANSAS,05,682000
1999,YEAR,CALIFORNIA,06,768718000
1999,YEAR,FLORIDA,12,150660000
1999,YEAR,LOUISIANA,22,4320000
1999,YEAR,MICHIGAN,26,5538000
1999,YEAR,NEW JERSEY,34,1270000
1999,YEAR,NEW YORK,36,8268000
1999,YEAR,NORTH CAROLINA,37,14080000
1999,YEAR,OHIO,39,2940000
1999,YEAR,OREGON,41,1462000
1999,YEAR,PENNSYLVANIA,42,5460000
1999,YEAR,WASHINGTON,53,2568000
1999,YEAR,WISCONSIN,55,5148000
1998,YEAR,ARKANSAS,05,520000
1998,YEAR,CALIFORNIA,06,624208000
1998,YEAR,FLORIDA,12,161200000
1998,YEAR,LOUISIANA,22,4200000
1998,YEAR,MICHIGAN,26,6478000
1998,YEAR,NEW JERSEY,34,884000
1998,YEAR,NEW YORK,36,7015000
1998,YEAR,NORTH CAROLINA,37,15000000
1998,YEAR,OHIO,39,3600000
1998,YEAR,OREGON,41,1820000
1998,YEAR,PENNSYLVANIA,42,5450000
1998,YEAR,WASHINGTON,53,1840000
1998,YEAR,WISCONSIN,55,6588000
